iteration, score, overlap
1174, 128060, 1
1175, 101752, 1
1176, 143060, 1
1177, 183683, 1
1178, 141491, 1
1179, 280987, 1
1180, 97031, 1
1181, 258563, 1
1182, 141491, 1
1183, 280987, 1
1184, 184016, 0
1185, 141491, 1
1186, 200480, 1
1187, 141491, 1
1188, 199936, 1
1189, 167321, 0
1190, 255514, 1
1191, 255514, 1
1192, 252423, 1
1193, 120917, 1
1194, 255514, 1
1195, 322185, 1
1196, 255514, 1
1197, 255514, 1
1198, 255189, 0
1199, 255189, 0
1200, 120917, 1
1201, 255514, 1
1202, 246967, 1
1203, 255514, 1
1204, 255189, 0
1205, 270248, 0
1206, 106498, 1
1207, 376737, 1
1208, 255514, 1
1209, 255514, 1
1210, 106498, 1
1211, 132728, 1
1212, 265490, 1
1213, 245140, 1
1214, 255514, 1
1215, 296896, 1
1216, 236215, 1
1217, 245140, 1
1218, 204237, 1
1219, 337380, 1
1220, 122060, 1
1221, 204480, 0
1222, 187069, 1
1223, 106498, 1
1224, 337435, 1
1225, 181381, 1
1226, 122060, 1
1227, 145165, 1
1228, 193820, 1
1229, 192137, 1
1230, 106498, 1
1231, 235429, 1
1232, 85200, 1
1233, 215730, 1
1234, 189635, 0
1235, 218997, 1
1236, 270070, 1
1237, 121735, 0
1238, 122580, 1
1239, 185461, 1
1240, 85200, 1
1241, 242020, 1
1242, 117542, 1
1243, 144443, 1
1244, 122950, 1
1245, 192015, 0
1246, 266105, 1
1247, 167167, 1
1248, 112872, 1
1249, 108277, 1
1250, 145440, 0
1251, 126585, 0
1252, 145440, 0
1253, 135733, 1
1254, 186648, 0
1255, 180184, 0
1256, 121056, 0
1257, 145440, 0
1258, 164024, 0
1259, 235936, 0
1260, 121056, 0
1261, 146248, 0
1262, 187803, 0
1263, 155376, 0
1264, 174528, 0
1265, 317544, 0
1266, 256136, 0
1267, 196344, 0
1268, 208794, 0
1269, 150960, 1
1270, 278624, 1
1271, 165640, 0
1272, 227856, 0
1273, 121056, 0
1274, 121056, 0
1275, 121056, 0
1276, 278624, 1
1277, 278624, 1
1278, 278624, 1
1279, 279184, 1
1280, 121056, 0
1281, 335184, 1
1282, 388512, 1
1283, 278624, 1
1284, 358616, 1
1285, 287512, 1
1286, 278624, 1
1287, 230600, 1
1288, 272182, 1
1289, 278624, 1
1290, 274184, 1
1291, 121056, 0
1292, 121056, 0
1293, 274184, 1
1294, 288320, 1
1295, 274184, 1
1296, 350136, 1
1297, 300040, 1
1298, 285088, 1
1299, 274184, 1
1300, 121056, 0
1301, 274464, 1
1302, 296000, 1
1303, 337744, 0
1304, 273104, 0
1305, 375184, 1
1306, 294773, 1
1307, 274184, 1
1308, 273104, 0
1309, 274184, 1
1310, 223392, 0
1311, 223392, 0
1312, 223392, 0
1313, 223392, 0
1314, 122136, 1
1315, 223392, 0
1316, 223392, 0
1317, 280176, 0
1318, 193216, 1
1319, 240170, 0
1320, 122136, 1
1321, 224112, 1
1322, 267784, 0
1323, 240935, 1
1324, 277680, 0
1325, 232752, 0
1326, 232752, 0
1327, 228614, 1
1328, 223392, 0
1329, 280176, 0
1330, 224232, 1
1331, 163320, 1
1332, 122094, 0
1333, 121056, 0
1334, 224232, 1
1335, 274352, 1
1336, 130008, 1
1337, 318765, 1
1338, 224232, 1
1339, 224232, 1
1340, 121056, 0
1341, 224232, 1
1342, 224232, 1
1343, 230676, 1
1344, 198345, 1
1345, 225012, 1
1346, 224232, 1
1347, 172200, 1
1348, 213699, 1
1349, 299736, 1
1350, 246567, 1
1351, 121456, 1
1352, 289677, 1
1353, 246567, 1
1354, 366690, 1
1355, 236508, 1
1356, 236508, 1
1357, 236508, 1
1358, 356258, 1
1359, 246567, 1
1360, 121456, 1
1361, 245727, 0
1362, 246567, 1
1363, 245727, 0
1364, 245130, 1
1365, 250797, 1
1366, 246567, 1
1367, 249441, 1
1368, 246567, 1
1369, 291812, 1
1370, 158168, 1
1371, 158168, 1
1372, 211471, 1
1373, 103832, 1
1374, 156928, 1
1375, 181220, 0
1376, 223860, 0
1377, 197077, 1
1378, 157768, 0
1379, 157768, 0
1380, 103832, 1
1381, 167048, 1
1382, 157928, 1
1383, 345360, 1
1384, 160328, 1
1385, 156903, 1
1386, 158468, 1
1387, 225326, 1
1388, 157768, 0
1389, 189082, 1
1390, 378023, 1
1391, 130888, 1
1392, 123500, 1
